protein1	protein2	score
P60709	Q9Y5I1	711
P55211	O14727	711
P09544	O60353	711
P35222	Q9Y5H7	711
P05198	P19525	711
P60568	P40189	711
P13232	P52333	711
Q9Y5H1	P21860	711
O95206	P00533	711
P06241	Q9Y5H9	711
Q9H159	Q8NEV1	711
P40933	P52333	711
Q9Y5G7	P21860	711
P67870	Q9H159	711
P13232	Q99665	711
P55291	Q9UQB3	711
P60709	Q9UN67	711
Q07889	Q9HBE4	711
P01589	P05112	711
Q9UHF4	Q07890	711
P42685	P22223	711
P42685	Q9HC56	711
P22301	Q13261	711
P01344	P08069	711
P51828	P62873	711
Q86UP0	Q9UQB3	711
P35222	Q9Y5I1	711
P26951	P40933	711
P60709	Q8NEV1	711
P67870	Q9Y5H2	711
P68133	Q9Y5I2	711
O75084	P35222	711
Q9Y5E7	Q8NEV1	711
Q9Y5E4	Q9UQB3	711
Q562R1	O75309	711
Q9Y5F6	Q9UQB3	711
Q8NEV1	Q9NYQ8	711
P42685	P55285	711
Q12841	O00144	711
Q9Y5G5	P42685	711
P78552	P52333	711
P68032	Q13634	711
Q9UN74	P06241	711
P12931	Q9Y5E8	711
Q9P2E7	P16591	711
Q07812	O95817	711
O43524	P31751	711
P28482	P41970	711
P63261	O60245	711
Q562R1	O60245	711
P18031	O60716	711
Q9UN71	P61160	711
Q9Y5H7	P61160	711
P04626	P55290	711
Q9Y5E8	Q562R1	711
P63261	Q9ULB5	711
Q8NEV1	Q9UN67	711
P55286	P68133	711
P27361	P41970	711
P68032	Q14517	711
Q07890	P01583	711
P56706	P35222	711
Q9GZT5	O00144	711
P35222	Q9Y5E7	711
Q15303	Q96JQ0	711
P63267	P42685	711
Q13158	Q99683	711
P35568	P78552	711
Q13651	P60568	711
P01583	P14784	711
O60716	Q9BYE9	711
P67870	Q9Y5F6	711
Q13634	Q562R1	711
Q9Y5E7	Q15303	711
P68032	Q9BZA7	711
Q15628	Q05655	711
Q14643	Q06187	711
P01583	Q13261	711
Q8NEV1	Q9Y5I1	711
P61160	Q9NYQ8	711
O95206	P42685	711
P60709	Q9Y5F1	711
Q8NEV1	Q8N6Y1	711
Q15303	Q9UN66	711
P18031	Q9Y6N8	711
P15248	P52333	711
Q9Y5F0	Q8NEV1	711
P18031	Q12864	711
P68032	P19784	711
P25024	P35568	711
P53778	P01100	711
P25963	Q01201	711
Q8TDW7	O60716	711
Q8TAB3	P61160	711
P56706	Q14332	711
P68032	Q9NYQ6	711
Q9ULV1	Q93098	711
Q13651	Q07889	711
P68133	Q9Y5H5	711
P68133	Q9Y5F2	711
P40189	P40933	711
Q9Y5H0	Q15303	711
P78560	Q15628	711
O15264	P01100	711
Q9Y5H0	P61160	711
P40189	P14784	711
Q9NRJ7	P00533	711
P60568	Q99665	711
Q12933	O95819	711
Q15303	Q9Y5F7	711
Q14116	Q9Y4H2	711
P18031	Q13634	711
Q15303	Q9BYE9	711
Q9Y5E6	P42685	711
P62736	Q9Y5F3	711
P67870	Q96JP9	711
P04628	Q13467	711
Q8WXG6	P01375	711
P52735	Q8WV28	711
P06241	P61160	711
P10145	P52333	711
P63267	Q9Y5F8	711
P63261	Q9UN71	711
Q9ULV1	Q93097	711
Q15349	P01100	711
Q93097	Q9H461	711
P42338	P42701	711
P62736	P00533	711
P35222	Q9BYE9	711
P04626	Q9Y5H5	711
Q9Y5F6	P61160	711
P04626	Q9Y5F2	711
P18031	Q9NYQ6	711
P35222	Q9ULW2	711
Q8TD08	P17947	711
P62736	Q14517	711
P67870	Q9Y5E9	711
P67870	Q12864	711
Q93097	Q14332	711
P27361	P19419	711
P27361	Q9HBH9	711
P06241	Q9Y5F3	711
